E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
9.6497	0	e-	EventGenerator	0.065209
	2.4804	0	-1	EventGenerator/
9.7026	1	e-	EventGenerator	0.065645
9.7026	1	gamma	eBrem	-1e+06
	1.3071	1	-1	EventGenerator/eBrem/
8.813	2	e-	EventGenerator	0.065684
0.83433	2	gamma	eBrem	0.06527
0.83433	2	gamma	eBrem	-1e+06
0.83433	2	gamma	eBrem	-1e+06
	3.3343	2	-1	EventGenerator/eBrem/eBrem/eBrem/
7.7739	3	e-	EventGenerator	0.065373
	1.6632	3	-1	EventGenerator/
9.6582	4	e-	EventGenerator	0.065157
	1.3693	4	-1	EventGenerator/
9.6537	5	e-	EventGenerator	0.065282
9.6537	5	gamma	eBrem	-1e+06
9.6537	5	e-	phot	-1e+06
	1.5491	5	-1	EventGenerator/eBrem/phot/
9.6052	6	e-	EventGenerator	0.065692
	2.3606	6	-1	EventGenerator/
9.6826	7	e-	EventGenerator	0.065454
	1.6171	7	-1	EventGenerator/
9.6626	8	e-	EventGenerator	0.065511
9.6626	8	gamma	eBrem	-1e+06
9.6626	8	gamma	eBrem	-1e+06
9.6626	8	gamma	eBrem	-1e+06
	2.5313	8	-1	EventGenerator/eBrem/eBrem/eBrem/
9.689	9	e-	EventGenerator	0.065393
9.689	9	gamma	eBrem	-1e+06
9.689	9	gamma	eBrem	-1e+06
9.689	9	e-	phot	-1e+06
9.689	9	e-	phot	-1e+06
	1.6839	9	-1	EventGenerator/eBrem/eBrem/phot/phot/
9.5799	11	e-	EventGenerator	0.06619
9.5799	11	gamma	eBrem	-1e+06
9.5799	11	e-	conv	-1e+06
9.5799	11	e+	conv	-1e+06
9.5799	11	gamma	annihil	-1e+06
9.5799	11	gamma	annihil	-1e+06
9.5799	11	e-	compt	-1e+06
9.5799	11	e-	phot	-1e+06
9.5799	11	gamma	eBrem	-1e+06
9.5799	11	gamma	eBrem	-1e+06
9.5799	11	gamma	eBrem	-1e+06
9.5799	11	e-	phot	-1e+06
9.5799	11	e-	phot	-1e+06
9.5799	11	e-	phot	-1e+06
	7.129	11	-1	EventGenerator/eBrem/conv/conv/annihil/annihil/compt/phot/eBrem/eBrem/eBrem/phot/phot/phot/
9.621	12	e-	EventGenerator	0.065381
9.621	12	gamma	eBrem	-1e+06
	1.7413	12	-1	EventGenerator/eBrem/
9.6384	13	e-	EventGenerator	0.065188
9.6384	13	gamma	eBrem	-1e+06
	1.642	13	-1	EventGenerator/eBrem/
9.6918	14	e-	EventGenerator	0.065411
9.6918	14	gamma	eBrem	-1e+06
9.6918	14	gamma	eBrem	-1e+06
9.6918	14	gamma	eBrem	-1e+06
	1.8077	14	-1	EventGenerator/eBrem/eBrem/eBrem/
9.6731	15	e-	EventGenerator	0.065319
9.6731	15	gamma	eBrem	-1e+06
9.6731	15	gamma	eBrem	-1e+06
	1.399	15	-1	EventGenerator/eBrem/eBrem/
9.6659	16	e-	EventGenerator	0.065541
9.6659	16	gamma	eBrem	-1e+06
	0.82205	16	-1	EventGenerator/eBrem/
9.6658	17	e-	EventGenerator	0.066284
	1.1174	17	-1	EventGenerator/
9.6854	18	e-	EventGenerator	0.065147
9.6854	18	e-	eIoni	-1e+06
9.6854	18	gamma	eBrem	-1e+06
0.46972	18	gamma	eBrem	0.073273
	7.5046	18	-1	EventGenerator/eIoni/eBrem/eBrem/
9.6021	19	e-	EventGenerator	0.066764
9.6021	19	gamma	eBrem	-1e+06
9.6021	19	e-	phot	-1e+06
	1.8187	19	-1	EventGenerator/eBrem/phot/
8.8019	20	e-	EventGenerator	0.065691
0.055998	20	e-	eIoni	0.1102
0.055998	20	gamma	eBrem	-1e+06
0.055998	20	gamma	eBrem	-1e+06
0.055998	20	gamma	eBrem	-1e+06
0.055998	20	e-	compt	-1e+06
0.055998	20	e-	phot	-1e+06
