E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
6.7109	1022	gamma	protonInelastic	0.17671
3.8825	112316	gamma	protonInelastic	0.17869
6.4044	133518	gamma	protonInelastic	0.18256
6.1439	138287	gamma	protonInelastic	0.19111
7.3013	163171	gamma	protonInelastic	0.16561
7.5229	365474	gamma	protonInelastic	0.16535
1.8194	385447	gamma	protonInelastic	0.18351
3.8801	385447	gamma	protonInelastic	0.18274
6.1409	386412	gamma	protonInelastic	0.19573
3.8834	407538	gamma	protonInelastic	0.17783
2.1495	456847	gamma	protonInelastic	0.18137
6.8337	500971	gamma	protonInelastic	0.17037
0.77291	521378	gamma	protonInelastic	0.18701
7.288	530312	gamma	protonInelastic	0.17016
2.77	550126	gamma	protonInelastic	0.17858
6.4961	572659	gamma	protonInelastic	0.18284
0.67104	572922	gamma	protonInelastic	0.1886
1.4224	573331	gamma	protonInelastic	0.18365
3.8821	678439	gamma	protonInelastic	0.17923
3.8835	705416	gamma	protonInelastic	0.17711
6.5111	764199	gamma	protonInelastic	0.18192
7.2805	907574	gamma	protonInelastic	0.17279
6.3292	971823	gamma	protonInelastic	0.21687
2.542	984193	gamma	protonInelastic	0.19218
6.8235	986003	gamma	protonInelastic	0.17215
